Num_Floors,Tons_Cement,Labor_Required,Num_Bricks,Tons_Iron,Tons_Sand,Total_Cost,Days
8.0,28.00002,40.0,74656.0,15.999809,70.0,2005397,48.999546
6.0,20.999804,30.0,37664.0,11.999666,52.499847,1390742,30.00009
3.0,10.500026,15.0,22122.0,5.8734503,26.250023,728690,29.99986
8.0,28.00002,40.0,53013.0,15.999809,70.0,1885532,35.001095
6.0,20.999804,30.0,67221.0,11.99965,52.499847,1579851,44.00035
6.0,20.999804,30.0,36472.0,11.999666,52.499847,1394828,30.00009
8.0,28.00002,40.0,28133.0,16.02082,70.0,1730075,30.000046
9.0,31.499962,45.0,18762.0,12.814512,78.749954,1594138,30.000046
8.0,28.00002,40.0,41656.0,15.999811,70.0,1821313,30.000046
9.0,31.499962,45.0,54577.0,18.000326,78.749954,2097334,36.000435
6.0,20.999804,30.0,56089.0,11.99965,52.499847,1509415,37.005882
3.0,10.500026,15.0,41793.0,5.9998555,26.250023,838782,29.99986
6.0,20.999804,30.0,15311.0,9.34613,52.499847,1211057,30.00009
9.0,31.499962,45.0,38443.0,18.000326,78.749954,2044059,30.000046
1.0,5.0001597,5.0,61947.0,2.0000336,12.500143,617701,39.929604
4.0,13.999876,20.0,69683.0,8.000013,34.999855,1154439,46.0496
6.0,20.999804,30.0,65936.0,11.99965,52.499847,1576024,43.631
5.0,17.500185,25.0,40835.0,9.99998,43.750114,1229368,29.999924
4.0,13.999876,20.0,73724.0,8.000013,34.999855,1214415,48.99938
9.0,31.499962,45.0,16391.0,11.932335,78.749954,1539334,30.000046
3.0,10.500026,15.0,22122.0,5.8734503,26.250023,728690,29.99986
8.0,28.00002,40.0,16469.0,12.504405,70.0,1432861,30.000046
4.0,13.999876,20.0,19283.0,8.054835,34.999855,917500,30.000063
1.0,5.0001597,5.0,28682.0,2.0105903,12.500143,427050,30.000017
4.0,13.999876,20.0,29449.0,7.9921923,34.999855,932473,30.000063
5.0,17.500185,25.0,54174.0,9.999964,43.750114,1310505,36.031395
5.0,17.500185,25.0,51800.0,9.999964,43.750114,1290669,34.002457
3.0,10.500026,15.0,60792.0,6.00029,26.250023,719862,40.042374
10.0,34.999863,50.0,41150.0,19.999825,87.4999,2208529,30.000046
